name,category,asr_model,genai_model,sum_num_words,coverage
oncologie,Dokter Patient,Whisper-large-v3-fast,transcript_Opus-4.8,525,0.44571428571428573
GGZ-exposure-therapie,interviews,Whisper-large-v3-fast,transcript_Opus-4.8,600,0.7033333333333334
hulpverleners,interviews,Whisper-large-v3-fast,transcript_Opus-4.8,735,0.8081632653061225
interview-113,interviews,Whisper-large-v3-fast,transcript_Opus-4.8,621,0.6892109500805152
ouder-worden-2040,interviews,Whisper-large-v3-fast,transcript_Opus-4.8,569,0.6608084358523726
ouderen-zorg,interviews,Whisper-large-v3-fast,transcript_Opus-4.8,654,0.6666666666666666
seksuele-voorlichting,interviews,Whisper-large-v3-fast,transcript_Opus-4.8,545,0.7192660550458716
verzorgings-staat,interviews,Whisper-large-v3-fast,transcript_Opus-4.8,538,0.6802973977695167
angststoornis,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Opus-4.8,488,0.4323770491803279
antidepressiva,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Opus-4.8,649,0.4576271186440678
baan,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Opus-4.8,837,0.4336917562724014
intake-bedrijf,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Opus-4.8,860,0.5674418604651162
misbruik,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Opus-4.8,714,0.4061624649859944
studie,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Opus-4.8,782,0.44501278772378516
vrijheden,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Opus-4.8,767,0.41851368970013036
