name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
angststoornis,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,216,"[0.61475, 0.58045, 0.59711]",0.06611570247933884,0.6062742333450828,0.9166666666666666,0.0,0.49034182727336884
interview-113,interviews,gt,transcript_Haiku_4.5,335,"[1.0, 1.0, 1.0]",1.0,0.2765931815443922,1.4537313432835821,0.0,0.4532306849956512
ouder-worden-2040,interviews,Cohere Labs Transcribe,transcript_Haiku_4.5,157,"[0.60497, 0.56257, 0.583]",0.07692307692307693,0.09362740824688344,1.1528662420382165,0.0,0.4681653641164303
ouder-worden-2040,interviews,NVIDIA Canary 1B v2,transcript_Haiku_4.5,363,"[0.54993, 0.53533, 0.54253]",0.1391941391941392,0.23982216023014558,0.9889807162534435,0.0,0.5365643614814395
studie,Psychologische gespreksvoering,gt,transcript_Haiku_4.5,328,"[1.0, 1.0, 1.0]",1.0,0.2645196807046518,1.2164634146341464,0.0,0.19567502772106843
hulpverleners,interviews,Cohere Labs Transcribe,transcript_Haiku_4.5,156,"[0.61398, 0.64387, 0.62857]",0.10158730158730159,0.07848119133319217,1.7820512820512822,0.0,0.3799976594746113
baan,Psychologische gespreksvoering,gt,transcript_Haiku_4.5,358,"[1.0, 1.0, 1.0]",1.0,0.1364110109741892,1.1592178770949721,0.0,0.414154252409935
diabetes,Dokter Patient,gt,transcript_Haiku_4.5,197,"[1.0, 1.0, 1.0]",1.0,0.42832706123845365,1.0558375634517767,0.0,0.25939842748145264
interview-113,interviews,Cohere Labs Transcribe,transcript_Haiku_4.5,145,"[0.59477, 0.5961, 0.59543]",0.03293413173652695,0.11986507649680761,0.9724137931034482,0.0,0.35447125136852264
hartziekten,Dokter Patient,Qwen3 ASR 1.7B,transcript_Haiku_4.5,241,"[0.4399, 0.46788, 0.45346]",0.08294930875576037,0.49184149184149184,0.24066390041493776,0.0,0.34499982620278996
neurologie,Dokter Patient,gt,transcript_Haiku_4.5,240,"[1.0, 1.0, 1.0]",1.0,0.3706077872744539,0.8666666666666667,0.0,0.32353292491573554
angststoornis,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Haiku_4.5,258,"[0.49005, 0.47563, 0.48273]",0.07024793388429752,0.7042650687345787,0.2751937984496124,0.0,0.42157720423796596
baan,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Haiku_4.5,256,"[0.49067, 0.5198, 0.50482]",0.11484593837535013,0.10698301759548771,0.73828125,0.0,0.401876899600029
studie,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Haiku_4.5,261,"[0.37224, 0.3625, 0.3673]",0.01529051987767584,0.2775942747041013,0.2681992337164751,0.0,0.4084206179660909
verzorgings-staat,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,47,"[0.43176, 0.37057, 0.39883]",0.014492753623188406,0.015970559862803244,0.425531914893617,0.0,0.5414702653884887
hulpverleners,interviews,Qwen3 ASR 1.7B,transcript_Haiku_4.5,89,"[0.49546, 0.37645, 0.42783]",0.006349206349206349,0.04749805914319994,0.6404494382022472,0.0,0.4043219983577728
seksuele-voorlichting,interviews,Whisper-large-v3-fast,transcript_Haiku_4.5,345,"[0.74943, 0.72058, 0.73472]",0.14696485623003194,0.1622514324233232,1.5565217391304347,0.0,0.4400672823900268
angststoornis,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Haiku_4.5,254,"[0.57338, 0.55085, 0.56189]",0.05371900826446281,0.5953471977440958,0.3661417322834646,0.0,0.2206595629453659
oncologie,Dokter Patient,NVIDIA Canary 1B v2,transcript_Haiku_4.5,229,"[0.60549, 0.59425, 0.59982]",0.1625,0.5045572916666666,0.868995633187773,0.0,0.3233006231324828
misbruik,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Haiku_4.5,468,"[0.50421, 0.57655, 0.53796]",0.21306818181818182,0.32507204610951007,0.5149572649572649,0.0,0.3172092242609887
hulpverleners,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,245,"[0.68628, 0.67651, 0.68136]",0.15555555555555556,0.14136495165502153,1.273469387755102,0.0,0.5421774312853813
angststoornis,Psychologische gespreksvoering,gt,transcript_Haiku_4.5,243,"[1.0, 1.0, 1.0]",1.0,0.5590412407472682,0.8148148148148148,0.0,0.2796805846904005
vrijheden,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Haiku_4.5,561,"[0.54596, 0.56217, 0.55394]",0.22752808988764045,0.5146704464918498,0.45454545454545453,0.0,0.22460160920253167
antidepressiva,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Haiku_4.5,268,"[0.41275, 0.48811, 0.44728]",0.04926108374384237,0.2165580682253737,0.4141791044776119,0.0,0.32627494677024726
abdomen,Dokter Patient,Whisper-large-v3-fast,transcript_Haiku_4.5,245,"[0.52881, 0.4924, 0.50995]",0.11627906976744186,0.5260591283145383,0.4857142857142857,0.0,0.30739348754286766
bewegingsapparaat,Dokter Patient,NVIDIA Canary 1B v2,transcript_Haiku_4.5,195,"[0.56461, 0.62122, 0.59157]",0.14351851851851852,0.4402761104441777,0.6410256410256411,0.0,0.34230915624648334
interview-113,interviews,Whisper-large-v3-fast,transcript_Haiku_4.5,392,"[0.71652, 0.70321, 0.7098]",0.23053892215568864,0.32020238525478856,1.1377551020408163,0.0,0.45153644323349
auto-immuunziekten,Dokter Patient,NVIDIA Canary 1B v2,transcript_Haiku_4.5,220,"[0.65024, 0.65118, 0.65071]",0.2222222222222222,0.41806836679327186,0.7454545454545455,0.0,0.47409068668882054
auto-immuunziekten,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,131,"[0.57917, 0.59546, 0.5872]",0.13333333333333333,0.3049376017362995,0.6793893129770993,0.0,0.48740629638944355
vrijheden,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,241,"[0.55679, 0.57343, 0.56498]",0.11235955056179775,0.25357902197023385,0.4854771784232365,0.0,0.2695682307376581
GGZ-exposure-therapie,interviews,Cohere Labs Transcribe,transcript_Haiku_4.5,138,"[0.59075, 0.59336, 0.59205]",0.038461538461538464,0.03749507115460444,0.9637681159420289,0.0,0.47015687078237534
